N	F0	PER	d0	v0	collision
4	-4	0.310000	7.027000	17	0
5	-7	0.420000	8.543000	56	0
6	-6	0.230000	7.754000	38	0
8	-3	0.300000	7.238000	54	0
4	-5	0.430000	6.761000	76	0
8	-7	0.270000	8.013000	83	0
3	-6	0.470000	7.839000	85	0
6	-6	0.260000	6.168000	22	0
5	-8	0.390000	8.167000	45	0
7	-8	0.250000	7.273000	10	0
3	-4	0.250000	5.307000	60	0
3	-4	0.210000	5.793000	77	0
8	-6	0.430000	4.415000	67	1
6	-3	0.450000	7.632000	63	0
4	-5	0.480000	5.658000	47	0
8	-7	0.260000	7.959000	88	0
3	-2	0.440000	7.064000	15	0
5	-2	0.440000	6.647000	73	0
7	-4	0.250000	8.378000	56	0
6	-8	0.380000	4.853000	46	0
7	-4	0.360000	8.737000	69	0
3	-2	0.430000	5.900000	55	0
5	-3	0.260000	8.128000	22	0
5	-8	0.280000	8.868000	17	0
8	-5	0.200000	6.902000	28	0
8	-4	0.200000	5.331000	20	0
4	-2	0.430000	5.691000	47	0
7	-8	0.380000	6.320000	73	0
5	-7	0.250000	8.310000	76	0
5	-8	0.340000	8.504000	86	0
4	-1	0.370000	4.255000	82	0
6	-2	0.230000	6.420000	14	0
5	-8	0.240000	6.230000	83	0
5	-4	0.350000	6.181000	34	0
6	-2	0.460000	5.369000	84	0
8	-6	0.370000	6.327000	37	0
5	-2	0.380000	8.434000	15	0
4	-3	0.400000	6.656000	50	0
5	-3	0.250000	7.310000	63	0
3	-1	0.360000	4.013000	73	0
6	-8	0.340000	7.910000	56	0
6	-3	0.310000	4.287000	78	0
5	-8	0.300000	6.404000	82	1
3	-1	0.420000	6.192000	22	0
6	-6	0.330000	7.497000	36	0
8	-8	0.250000	8.604000	40	0
4	-5	0.210000	4.097000	17	0
7	-2	0.340000	5.535000	86	0
4	-3	0.310000	6.751000	44	0
5	-2	0.390000	6.748000	43	0
5	-3	0.240000	7.797000	38	0
6	-8	0.350000	7.023000	88	0
5	-3	0.270000	7.362000	88	0
4	-5	0.450000	8.944000	55	0
8	-5	0.450000	8.561000	73	0
3	-7	0.260000	7.785000	16	0
7	-8	0.380000	5.405000	32	0
4	-4	0.380000	4.593000	27	0
5	-2	0.330000	5.492000	52	0
8	-5	0.330000	4.289000	25	0
8	-1	0.230000	6.635000	81	0
6	-8	0.410000	7.631000	55	0
4	-8	0.240000	7.184000	51	0
7	-7	0.320000	5.064000	32	0
4	-2	0.350000	7.704000	35	0
4	-8	0.310000	8.375000	62	0
3	-7	0.460000	6.165000	41	0
4	-7	0.390000	8.364000	61	0
6	-8	0.270000	5.556000	34	0
4	-4	0.440000	4.432000	30	0
3	-2	0.200000	4.309000	80	0
4	-7	0.420000	5.417000	70	0
6	-8	0.290000	5.074000	83	0
7	-5	0.380000	4.893000	32	0
3	-5	0.490000	7.738000	44	0
8	-7	0.350000	6.509000	51	0
8	-8	0.280000	5.645000	79	0
8	-7	0.480000	4.659000	37	0
3	-5	0.200000	5.412000	46	0
6	-7	0.440000	4.745000	71	1
6	-2	0.400000	5.018000	37	0
3	-5	0.420000	5.546000	61	0
8	-8	0.250000	7.981000	79	1
5	-6	0.360000	7.198000	89	0
6	-4	0.470000	8.909000	19	0
4	-6	0.320000	5.176000	26	0
5	-3	0.450000	7.393000	19	0
6	-6	0.320000	4.385000	21	0
5	-5	0.480000	4.667000	80	0
6	-8	0.220000	6.482000	25	0
8	-3	0.200000	4.973000	26	0
6	-6	0.360000	8.179000	67	0
5	-2	0.330000	6.623000	67	0
8	-7	0.270000	5.795000	15	0
3	-6	0.320000	7.058000	35	0
8	-2	0.250000	8.891000	74	0
7	-8	0.390000	5.164000	13	0
6	-1	0.270000	6.177000	80	0
4	-4	0.250000	7.568000	23	0
5	-6	0.200000	5.707000	50	0
7	-5	0.440000	7.538000	35	0
8	-5	0.400000	8.040000	52	0
7	-6	0.490000	8.241000	63	0
6	-3	0.300000	7.652000	57	0
4	-4	0.210000	8.559000	49	0
5	-7	0.350000	5.577000	49	0
4	-3	0.360000	8.600000	59	0
5	-2	0.310000	4.243000	86	0
4	-8	0.450000	6.716000	12	0
8	-3	0.210000	6.772000	73	0
6	-6	0.400000	8.673000	12	0
5	-2	0.280000	8.172000	15	0
4	-2	0.240000	4.944000	85	0
4	-2	0.420000	6.363000	81	0
5	-6	0.380000	4.315000	57	0
3	-3	0.470000	4.907000	10	0
5	-2	0.440000	8.366000	49	0
6	-8	0.360000	7.011000	53	0
8	-5	0.450000	8.549000	78	0
4	-3	0.340000	6.435000	86	0
5	-2	0.430000	7.215000	49	0
6	-6	0.400000	6.535000	40	0
4	-2	0.270000	8.121000	20	0
5	-3	0.270000	5.047000	27	0
4	-5	0.380000	6.729000	76	0
5	-7	0.340000	7.400000	64	0
8	-7	0.280000	6.785000	23	0
7	-5	0.400000	4.154000	67	0
6	-3	0.400000	6.081000	35	0
5	-8	0.390000	4.806000	47	0
8	-7	0.470000	8.078000	10	0
3	-3	0.240000	5.639000	31	0
3	-7	0.470000	6.894000	24	0
3	-5	0.200000	8.042000	55	0
3	-2	0.350000	8.883000	66	0
8	-7	0.370000	4.590000	21	0
7	-8	0.350000	5.779000	33	0
5	-6	0.460000	4.601000	60	0
3	-4	0.320000	7.996000	45	0
5	-8	0.380000	7.853000	82	0
8	-8	0.450000	8.665000	31	0
7	-2	0.320000	5.041000	80	0
6	-3	0.480000	5.131000	48	0
