N	F0	m	del	d0	v0	out	Int_v1	Int_v2	Int_d2	Tsim	KK	SSi	SS
integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	continuous	continuous	nominal
3	500	1926	27	22	63	1	0	0	0	300	10.370000	13.300000	1
3	500	1926	12	24	76	1	0	0	0	300	15.060000	10.840000	1
3	500	1926	12	22	62	1	0	0	0	300	1.940000	7.130000	1
3	500	1926	23	20	81	1	0	0	0	300	6.360000	13.720000	1
3	500	1926	19	27	75	1	0	0	0	300	8.760000	5.790000	1
3	500	1926	18	22	87	1	0	0	0	300	13.150000	13.920000	1
3	500	1926	28	31	79	0	0	0	0	300	13.180000	3.360000	1
3	500	1926	11	32	83	0	0	0	0	300	3.390000	1.520000	1
3	500	1926	11	21	68	1	0	0	0	300	6.510000	8.720000	1
3	500	1926	12	33	87	0	0	0	0	300	4.420000	1.690000	1
3	500	1926	18	23	77	1	0	0	0	300	13.490000	12.070000	1
3	500	1926	24	21	67	1	0	0	0	299	12.120000	13.810000	1
3	500	1926	12	29	66	0	0	0	0	300	6.060000	2.500000	1
3	500	1926	28	21	64	1	0	0	0	300	14.360000	13.630000	1
3	500	1926	18	39	72	0	0	0	0	300	6.550000	0.960000	0
3	500	1926	10	27	66	1	0	0	0	300	8.900000	3.770000	1
3	500	1926	25	35	71	0	0	0	0	299	5.280000	1.170000	1
3	500	1926	26	21	76	1	0	0	0	300	15.630000	15.990000	1
3	500	1926	23	33	74	0	0	0	0	300	7.420000	0.950000	0
3	500	1926	11	39	81	0	0	0	0	300	8.180000	0.780000	0
3	500	1926	23	34	64	0	0	0	0	300	14.380000	2.790000	1
3	500	1926	18	31	73	0	0	0	0	300	4.940000	1.420000	1
3	500	1926	24	27	63	1	0	0	0	299	14.440000	7.120000	1
3	500	1926	27	22	81	1	0	0	0	300	4.400000	10.460000	1
3	500	1926	17	24	76	1	0	0	0	300	12.800000	8.410000	1
3	500	1926	28	28	81	1	0	0	0	300	4.930000	7.000000	1
3	500	1926	17	25	81	1	0	0	0	300	11.070000	8.570000	1
3	500	1926	16	39	68	0	0	0	0	300	3.880000	3.140000	1
3	500	1926	12	39	65	0	0	0	0	300	11.030000	0.830000	0
3	500	1926	19	33	88	0	0	0	0	300	6.060000	1.030000	1
3	500	1926	18	38	85	0	0	0	0	300	12.830000	1.380000	1
3	500	1926	21	35	83	0	0	0	0	300	11.660000	1.090000	1
3	500	1926	17	20	72	1	0	0	0	300	7.550000	11.910000	1
3	500	1926	29	34	77	0	0	0	0	299	13.450000	3.600000	1
3	500	1926	15	26	76	1	0	0	0	300	9.120000	8.150000	1
3	500	1926	25	32	87	0	0	0	0	299	3.420000	2.860000	1
3	500	1926	22	30	77	0	0	0	0	300	5.650000	2.860000	1
3	500	1926	20	27	85	1	0	0	0	300	3.770000	5.740000	1
3	500	1926	19	23	64	1	0	0	0	300	10.100000	11.270000	1
3	500	1926	25	24	87	1	0	0	0	299	2.300000	8.420000	1
3	500	1926	23	25	89	1	0	0	0	300	15.340000	11.900000	1
3	500	1926	14	20	65	1	0	0	0	300	2.130000	7.730000	1
3	500	1926	18	33	80	0	0	0	0	300	3.590000	3.200000	1
3	500	1926	21	26	77	1	0	0	0	300	5.840000	8.010000	1
3	500	1926	22	25	61	1	0	0	0	300	10.220000	10.560000	1
3	500	1926	23	35	63	0	0	0	0	300	8.940000	2.710000	1
3	500	1926	29	23	86	1	0	0	0	299	1.930000	8.940000	1
3	500	1926	10	29	74	0	0	0	0	300	2.780000	1.890000	1
3	500	1926	16	30	77	0	0	0	0	300	4.330000	1.630000	1
3	500	1926	24	29	75	1	0	0	0	299	1.770000	6.350000	1
3	500	1926	11	34	68	0	0	0	0	300	13.850000	0.890000	0
3	500	1926	20	31	62	0	0	0	0	300	5.010000	2.610000	1
3	500	1926	29	30	80	0	0	0	0	299	9.060000	3.890000	1
3	500	1926	29	39	80	0	0	0	0	299	12.270000	3.840000	1
3	500	1926	18	33	72	0	0	0	0	300	1.360000	2.300000	1
3	500	1926	21	29	83	1	0	0	0	300	4.400000	4.500000	1
3	500	1926	25	38	61	0	0	0	0	299	5.020000	1.350000	1
3	500	1926	18	22	74	1	0	0	0	300	8.010000	10.990000	1
3	500	1926	28	27	85	1	0	0	0	300	1.620000	7.110000	1
3	500	1926	17	35	64	0	0	0	0	300	4.670000	1.600000	1
3	500	1926	23	24	89	1	0	0	0	300	3.870000	8.680000	1
3	500	1926	12	22	72	1	0	0	0	300	14.340000	11.380000	1
3	500	1926	21	34	73	0	0	0	0	300	8.790000	1.990000	1
3	500	1926	19	25	89	1	0	0	0	300	8.300000	8.440000	1
3	500	1926	24	25	78	1	0	0	0	299	5.250000	8.950000	1
3	500	1926	26	24	85	1	0	0	0	300	11.320000	14.730000	1
3	500	1926	26	20	70	1	0	0	0	300	5.940000	12.350000	1
3	500	1926	19	31	72	0	0	0	0	300	3.370000	1.810000	1
3	500	1926	10	37	86	0	0	0	0	300	13.640000	0.850000	0
3	500	1926	21	27	61	1	0	0	0	300	10.540000	6.870000	1
3	500	1926	18	23	64	1	0	0	0	300	11.930000	11.650000	1
3	500	1926	21	37	65	0	0	0	0	300	10.470000	2.380000	1
3	500	1926	12	32	85	0	0	0	0	300	10.220000	0.920000	0
3	500	1926	17	37	69	0	0	0	0	300	12.040000	1.110000	1
3	500	1926	27	33	62	0	0	0	0	300	8.230000	1.500000	1
3	500	1926	13	30	74	0	0	0	0	300	9.530000	0.850000	0
3	500	1926	23	27	80	1	0	0	0	300	14.750000	7.920000	1
3	500	1926	24	38	65	0	0	0	0	299	6.130000	1.090000	1
3	500	1926	15	22	61	1	0	0	0	300	15.860000	11.560000	1
3	500	1926	20	28	70	1	0	0	0	300	1.750000	6.770000	1
3	500	1926	13	36	83	0	0	0	0	300	12.460000	1.010000	1
3	500	1926	16	25	74	1	0	0	0	300	5.330000	8.000000	1
3	500	1926	22	36	84	0	0	0	0	300	7.220000	0.940000	0
3	500	1926	18	22	81	1	0	0	0	300	11.420000	12.690000	1
3	500	1926	20	25	62	1	0	0	0	300	15.900000	9.480000	1
3	500	1926	22	39	73	0	0	0	0	300	1.190000	2.470000	1
3	500	1926	27	37	84	0	0	0	0	300	4.970000	2.870000	1
3	500	1926	24	33	62	0	0	0	0	299	9.050000	2.810000	1
3	500	1926	23	21	62	1	0	0	0	300	2.870000	8.230000	1
3	500	1926	11	28	71	0	0	0	0	300	14.230000	3.080000	1
3	500	1926	20	33	63	0	0	0	0	300	5.930000	1.090000	1
3	500	1926	13	27	89	1	0	0	0	300	3.590000	5.270000	1
3	500	1926	12	36	64	0	0	0	0	300	8.490000	0.780000	0
3	500	1926	22	22	60	1	0	0	0	300	5.050000	10.420000	1
3	500	1926	13	35	62	0	0	0	0	300	5.380000	1.370000	1
3	500	1926	18	27	68	1	0	0	0	300	5.740000	6.410000	1
3	500	1926	15	33	74	0	0	0	0	300	7.250000	0.870000	0
3	500	1926	21	30	80	0	0	0	0	300	5.680000	2.770000	1
3	500	1926	15	24	88	1	0	0	0	300	12.720000	12.510000	1
3	500	1926	11	28	70	0	0	0	0	300	13.420000	2.510000	1
3	500	1926	27	36	78	0	0	0	0	300	12.430000	3.270000	1
3	500	1926	21	33	70	0	0	0	0	300	13.490000	2.330000	1
